simulacao,Dice_RGB,IoU_RGB,Prec_RGB,Rec_RGB,Dice_HSV,IoU_HSV,Prec_HSV,Rec_HSV
1,0.575308641975309,0.403812824956672,0.548235294117647,0.605194805194805,0.617919670442842,0.447093889716841,0.511945392491468,0.779220779220779
2,0.144385026737968,0.0778097982708934,0.931034482758621,0.0782608695652174,0.192207792207792,0.10632183908046,0.925,0.107246376811594
3,0.647810218978102,0.479082321187584,0.479082321187584,1,0.589700996677741,0.418138987043581,0.418138987043581,1
4,0.581430745814307,0.409871244635193,0.757936507936508,0.471604938271605,0.678522571819425,0.513457556935818,0.760736196319018,0.612345679012346
5,0.683785766691123,0.519509476031215,0.598971722365039,0.796581196581197,0.679945054945055,0.515088449531738,0.568312284730195,0.846153846153846
6,0.597014925373134,0.425531914893617,0.625,0.571428571428571,0.636155606407323,0.466442953020134,0.612334801762115,0.661904761904762
7,0.576966932725199,0.405448717948718,0.55726872246696,0.598108747044917,0.569072164948454,0.397694524495677,0.504570383912249,0.652482269503546
8,0.777957860615883,0.636604774535809,0.645161290322581,0.979591836734694,0.74347158218126,0.591687041564792,0.596059113300493,0.987755102040816
9,0.208,0.116071428571429,0.684210526315789,0.122641509433962,0.280701754385965,0.163265306122449,0.691358024691358,0.176100628930818
10,0.629441624365482,0.459259259259259,0.656084656084656,0.604878048780488,0.663594470046083,0.496551724137931,0.62882096069869,0.702439024390244
11,0.163701067615658,0.0891472868217054,0.696969696969697,0.092741935483871,0.251655629139073,0.143939393939394,0.703703703703704,0.153225806451613
12,0.823529411764706,0.7,0.727272727272727,0.949152542372881,0.80977312390925,0.680351906158358,0.688427299703264,0.983050847457627
13,0.481481481481481,0.317073170731707,0.681451612903226,0.372246696035242,0.661157024793388,0.493827160493827,0.712468193384224,0.616740088105727
14,0.537190082644628,0.367231638418079,1,0.367231638418079,0.615969581749049,0.445054945054945,0.941860465116279,0.457627118644068
15,0.599294947121034,0.427852348993289,0.428571428571429,0.99609375,0.566058595909342,0.394757131842714,0.394757131842714,1
16,0.645077720207254,0.476099426386233,0.602905569007264,0.693593314763231,0.67741935483871,0.51219512195122,0.551663747810858,0.877437325905292
17,0.712215320910973,0.553054662379421,0.914893617021277,0.583050847457627,0.812056737588652,0.683582089552239,0.851301115241636,0.776271186440678
18,0.380634390651085,0.235051546391753,0.870229007633588,0.243589743589744,0.569784172661871,0.398390342052314,0.872246696035242,0.423076923076923
19,0.843822843822844,0.729838709677419,0.747933884297521,0.967914438502674,0.792372881355932,0.656140350877193,0.656140350877193,1
20,0.468085106382979,0.305555555555556,0.473118279569892,0.463157894736842,0.524822695035461,0.355769230769231,0.476394849785408,0.58421052631579
